mhy_id,name,element,country,nick_name,title,gender,rarity,pool,constellation,special_cuisine,equip_date,tag,introduction,label,weapon_type,organization,break_material,skill_material,weapon_choice,constellation2,icon
1360,阿贝多,岩,蒙德,暂无,白垩之子,男,5星,限定UP,白垩之子座,林之梦,2020年12月23日,伤害提升、精通加成、炼金返还、自身伤害提升,西风骑士团首席炼金术师兼调查小队队长，被称作白垩之子的天才,character,双手剑,奔狼领,"['坚牢黄玉碎屑*1', '坚牢黄玉断片*9', '坚牢黄玉块*9', '坚牢黄玉*6', '玄岩之塔*46', '塞西莉亚花*168', '导能绘卷*18', '封魔绘卷*30', '禁咒绘卷*36', '摩拉*2092530']","['诗文的教导*9', '诗文的指引*63', '诗文的哲学*114', '导能绘卷*18', '封魔绘卷*66', '禁咒绘卷*93', '吞天之鲸·只角*18', '智识之冕*3']","{'辰砂之纺锤': '该武器能够提供高额防御力加成，同时有着基于防御力提高元素战技伤害值的武器特效，能够有效提升阿贝多元素战技造成的伤害。', '腐殖之剑': '该武器的特效对阿贝多元素战技伤害有较大提升（虽然提升幅度低于辰砂之纺锤），且提供的元素充能效率可保证阿贝多元素爆发的释放频率。', '黎明神剑': '提供高额的暴击率和暴击伤害加成。'}","['伊甸之花', '显生之宙', '太阳之华', '神性之陨', '冥古之潮', '无垢之土']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/01009cc20f9a4ebf4ece5e96fdecad1a_3067405046796818316.png
2415,埃洛伊,冰,暂无,暂无,异界的救世主,女,5星,限定UP,诺拉勇者座,饱腹感凝胶,2021年9月1日(PS4/PS5) 10月13日(全平台),自身附魔、加攻、自身伤害提升、生物亲和、减攻,流放者、机械猎手、探索者、被封者、救世主等……在原本的世界里有着诸多身份的她，是一名从“基因”层面就注定要治愈世界的女杰。如今她来到了全新的世界，充满了前所未有的挑战，于是，她再次欣然投身狩猎的旅途。,character,弓,游侠,"['哀叙冰玉碎屑*1', '哀叙冰玉断片*9', '哀叙冰玉块*9', '哀叙冰玉*6', '晶凝之华*46', '晶化骨髓*168', '浮游干核*18', '浮游幽核*30', '浮游晶化核*36', '摩拉*2092530']","['自由的教导*9', '自由的指引*63', '自由的哲学*102', '浮游干核*18', '浮游幽核*66', '浮游晶化核*93', '熔毁之刻*18', '智识之冕*3']","{'飞雷之弦振': '埃洛伊的主要输出方式为普通攻击，飞雷之弦振的效果可以为埃洛伊提供较高的加成。', '天空之翼': '该武器同时提供了暴击和爆伤，是把泛用型武器。', '阿莫斯之弓': '埃洛伊的主要输出方式为普通攻击，阿莫斯之弓的效果可以为埃洛伊提供较高的加成。若能控制好射击距离，战斗时能获得更高的伤害加成。', '掠食者': '外观毕业武器，武器效果也较为契合，但仅可在PS平台活动领取和使用。', '弓藏': '埃洛伊的主要输出方式为普通攻击，弓藏能提供较大的伤害加成。', '破魔之弓': '该武器效果契合埃洛伊主要输出方式，且获得难度相对较小。'}",[],https://uploadstatic.mihoyo.com/ys-obc/2021/11/05/10875381/65886603cf7f0bdbaa82a165898237a3_1473519897376013260.png
54,安柏,火,蒙德,暂无,飞行冠军,女,4星,常驻UP,小兔座,侦察骑士烤肉,2020年8月10日,暂无,活泼率直的少女，是蒙德城中唯一的侦察骑士。擅长使用风之翼的安柏，连续三年蝉联蒙德城的“飞行冠军”。,character,弓,西风骑士团,"['燃愿玛瑙碎屑*1', '燃愿玛瑙断片*9', '燃愿玛瑙块*9', '燃愿玛瑙*6', '常燃火种*46', '小灯草*168', '牢固的箭簇*18', '锐利的箭簇*30', '历战的箭簇*36', '摩拉*2092530']","['自由的教导*9', '自由的指引*63', '自由的哲学*114','牢固的箭簇*18', '锐利的箭簇*66', '历战的箭簇*93', '东风的吐息*18', '智识之冕*3']","{'阿莫斯之弓': '大幅提升重击时伤害', '绝弦': '提供元素精通并提升元素战技与元素爆发伤害'}","['一箭双丘丘！', '一触即发', '烧起来啦！', '才不是普通的布偶', '是兔兔伯爵！', '疾如野火']",https://uploadstatic.mihoyo.com/ys-obc/2022/02/16/6276411/138132721f21bf60c53a8935a8fb0107_8908120754759624960.png
3564,八重神子,雷,稻妻,暂无,浮世笑百姿,女,5星,限定UP,仙狐座,福内乌冬,2021年6月27日,暂无,掌管鸣神大社的大巫女、狐之血脉的延续者、“永恒”的眷属与友人，以及，轻小说出版社“八重堂”的恐怖总编。有着多重身份的神秘宫司，凡人或许永远无法了解她的真面目与真心。,character,法器,鸣神大社,"['最胜紫晶碎屑*1', '最胜紫晶断片*9', '最胜紫晶块*9', '最胜紫晶*6', '龙嗣伪鳍*46', '海灵芝*168', '破旧的刀镡*18', '影打刀镡*30', '名刀镡*36', '摩拉*2092530']","['天光的教导*9', '天光的指引*63', '天光的哲学*114', '破旧的刀镡*18', '影打刀镡*66', '名刀镡*93', '万劫之真意*18', '智识之冕*3']","{'神乐之真意': '元素战技伤害加成，叠满层数额外获得元素伤害加成，非常适合八重神子。', '天空之卷': '除神乐之外比较合适的五星武器。', '流浪乐章': '三个武器特效对八重神子都有提升，持续时间较短，冷却时间较长。', '匣里日月': '元素战技伤害加成，需要经常普攻触发武器特效。', '万国诸海图谱': '可锻造，容易获取。', '白辰之环': '可锻造，容易获取。'}","['野狐供真篇', '望月吼哕声', '七段妙变化', '绯樱引雷章', '暴恶嗤笑面', '大杀生咒禁']",https://uploadstatic.mihoyo.com/ys-obc/2022/02/15/6276411/2a54cd4008e8bc398f3f8bdc08225048_2883595654384922672.jpg
61,芭芭拉,水,蒙德,暂无,闪耀偶像,女,4星,常驻UP,金杯座,辣味时蔬烩肉,2020年7月5日,暂无,西风骑士团的祈礼牧师，蒙德城的闪亮偶像。对于习惯了传统吟游诗人的蒙德来说，“偶像”是还不习惯的新生事物。,character,法器,西风教会,"['涤净青金碎屑*1', '涤净青金断片*9', '涤净青金块*9', '涤净青金*6', '净水之心*46', '慕风蘑菇*168', '导能绘卷*18', '封魔绘卷*30', '禁咒绘卷*36', '摩拉*2092530']","['自由的教导*9', '自由的指引*63', '自由的哲学*114', '导能绘卷*18', '封魔绘卷*66', '禁咒绘卷*93', '北风之环*18', '智识之冕*3']","{'不灭月华': '技能提升治疗效果', '试作金珀': '释放元素爆发额外回复全队生命值', '西风秘典': '提供元素充能', '讨龙英杰谭': '切换角色时提升新登场角色的攻击力，有助于拉高队伍输出能力'}","['彩色歌谣', '元气迸发', '明日之星', '努力即魔法', '纯真的羁绊', '将一切美好献给你']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/7f1ac500bafa0526438e4e5b95165991_9116453886373904076.png
105,班尼特,火,蒙德,阿班/六星真神/火神,命运试金石,男,4星,常驻UP,险路座,提瓦特焦蛋,2020年09月15日,治疗、加攻、伤害提升、元素附着、元素附魔、派遣,蒙德的冒险家少年，拥有与他的善良毫不相称的霉运。,character,单手剑,冒险家协会,"['燃愿玛瑙碎屑*1', '燃愿玛瑙断片*9', '燃愿玛瑙块*9', '燃愿玛瑙*6', '常燃火种*46', '风车菊*168', '寻宝鸦印*18', '藏银鸦印*30', '攫金鸦印*36', '摩拉*2092530']","['抗争的教导*9', '抗争的指引*63', '抗争的哲学*114', '寻宝鸦印*18', '藏银鸦印*66', '攫金鸦印*93', '东风之翎*18', '智识之冕*3']","{'雾切之回光': '提供高额元素伤害加成，适合输出流班尼特使用', '磐岩结绿': '提供较高暴击率和攻击力加成，适合输出流班尼特使用', '风鹰剑': '该武器基础攻击力极高，能够最大化班尼特的攻击力加成效果。', '天空之刃': '提供较高的基础攻击力和元素充能效率，是五星单手剑中较为均衡的选择。', '苍古自由之誓': '其武器特效能够有效提升班尼特的辅助能力，但触发武器特效需要其他元素属性的队友。', '暗巷闪光': '提供四星单手剑中最高的基础攻击力，能使班尼特的大招产生更高的攻击力加成。', '腐殖之剑': '提供适中的基础攻击力和元素充能效率，是四星单手剑中较为均衡的选择。', '西风剑': '有效缓解全队充能压力，但基础攻击力较低。'}","['冒险憧憬', '踏破绝境', '火热激情', '热情不灭', '开拓的心魂', '烈火与勇气']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/498b43ef0d21c4e2c1d7a1dea0deea3f_2145838239611168396.png
79,北斗,雷,璃月,暂无,无冕的龙王,女,4星,常驻UP,南天海山座,炝炒肉片,2020年09月15日,护盾、减抗、抗打断、游泳消耗减少、弹反、自身伤害提升,武装船队南十字的首领，豪快的大姐头。,character,双手剑,南十字舰队,"['最胜紫晶碎屑*1', '最胜紫晶断片*9', '最胜紫晶块*9', '最胜紫晶*6', '雷光棱镜*46', '夜泊石*168', '寻宝鸦印*18', '藏银鸦印*30', '攫金鸦印*36', '摩拉*2092530']","['黄金的教导*9', '黄金的指引*63', '黄金的哲学*114', '寻宝鸦印*18', '藏银鸦印*66', '攫金鸦印*93', '东风的吐息*18', '智识之冕*3']","{'天空之傲': '一定程度上缓解北斗的充能压力，同时补充北斗较低的基础攻击力。', '狼的末路': '提供高额攻击力加成，有效提升北斗伤害输出。', '无工之剑': '提供高额攻击力加成，有效提升北斗伤害输出。同时，北斗也有一定的生成护盾的能力，能够较有效地适配无工之剑的特效。', '千岩古剑': '北斗作为璃月角色可至少获取一层该武器的特效加成。', '螭骨剑': '螭骨剑的副词条是暴击率，武器特效又可提供伤害加成，是泛用性和强度都非常高的一把四星大剑。', '恶王丸': '北斗的主流定位为副c，依靠元素爆发造成伤害。该武器可以有效提升元素爆发的伤害，是一个不错的选择。', '衔珠海皇': '北斗的主流定位为副c，依靠元素爆发造成伤害。该武器可以有效提升元素爆发的伤害，是一个不错的选择。'}","['鱼龙沉四方', '赫赫雷涌起', '潮奔蓦引电', '牵星觅乡岸', '踏浪霞连阶', '北斗祓幽孽']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/0f7406a1ea1b7fb827d7abe14bfe83e8_3108123811393147392.png
1220,达达利亚,水,至冬,公子/阿贾克斯,公子,男,5星,限定UP,鲸天座,极致一钓,2020年11月11日,天赋提升,愚人众执行官第十一位，公子，其战绩威名远扬。,character,弓,愚人众,"['涤净青金碎屑*1', '涤净青金断片*9', '涤净青金块*9', '涤净青金*6', '净水之心*46', '星螺*168', '新兵的徽记*18', '士官的徽记*30', '尉官的徽记*36', '摩拉*2092530']","['自由的教导*9', '自由的指引*63', '自由的哲学*114', '新兵的徽记*18', '士官的徽记*66', '尉官的徽记*93', '魔王之刃·残片*18', '智识之冕*3']","{'冬极白星': '提升暴击率和攻击力，并提供元素战技/元素爆发伤害加成，有效提升公子伤害输出。', '若水': '提供高额暴击伤害和通用的伤害加成，有效提升公子伤害输出。', '飞雷之弦振': '提供暴击伤害加成、攻击力加成和普通攻击伤害加成。对达达利亚使用元素战技附魔后的普通攻击伤害提升显著。', '天空之翼': '提升暴击率和暴击伤害，能够较有效地提升公子伤害输出。', '弓藏': '提供高额普通攻击伤害加成。对达达利亚使用元素战技附魔后的普通攻击伤害提升比较显著。', '绝弦': '提供元素战技/元素爆发伤害加成和元素精通。对触发蒸发反应的元素爆发伤害有相当大提升。', '苍翠猎弓': '达达利亚是一位对群效率极高的角色，该武器特效的聚怪效果虽然不显著，但对小怪时还是有不错的表现，有时还能触发较为可观的摔伤。副词缀暴击率也能缓解圣遗物的词缀压力，是达达利亚四星武器中一个不错的选择。', '破魔之弓': '提供普通攻击/重击伤害加成。对达达利亚使用元素战技附魔后的普通攻击/重击伤害提升比较显著。同时，作为锻造武器，其获取难度较低，适合过渡期使用。'}","['魔王武装·遏浪', '魔王武装·暗流', '深渊之灾·纷争涡源', '深渊之灾·凝水盛放', '极恶技·斩水斩雨', '极恶技·天使灭尽']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/c0a4fcefc01b018856439e023dd4dc7a_6675006735371357498.png
1221,迪奥娜,冰,蒙德,迪奥娜·凯茨莱茵/猫猫,猫尾特调,女,4星,常驻UP,小猫座,绝对不是下酒菜,2020年11月11日,减攻、治疗、护盾、移速提升、元素附着、精通加成、体力消耗降低、烹饪、自身伤害提升,"遗传了稀薄的非人血统的少女,猫尾酒馆的超人气调酒师。猫耳娘，黑暗酿酒师",character,弓,猫尾酒馆,"['哀叙冰玉碎屑*1', '哀叙冰玉断片*9', '哀叙冰玉块*9', '哀叙冰玉*6', '极寒之核*46', '嘟嘟莲*168', '牢固的箭簇*18', '锐利的箭簇*30', '历战的箭簇*36', '摩拉*2092530']","['自由的教导*9', '自由的指引*63', '自由的哲学*114','牢固的箭簇*18', '锐利的箭簇*66', '历战的箭簇*93', '魔王之刃·残片*18', '智识之冕*3']","{'终末嗟叹之诗': '武器特效能为团队提升收益，且触发不算太难。', '祭礼弓': '技能可以重置元素战技来保证盾的覆盖与循环。', '西风猎弓': '提供元素充能属性，特效也能为团队提供能量。', '反曲弓': '能提供大量生命值加成的平民武器。'}","['特调的余韵', '猫爪冰摇', '还、还要续杯？', '酒业杀手', '双份加冰', '猫尾打烊之时']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/759f0ebba20d33f606c2ecc025b9b586_6011368354846344391.png
75,迪卢克,火,蒙德,迪卢克·莱艮芬德/卢姥爷/卢锅巴/正义人,晨曦的暗面,男,5星,常驻UP,夜枭座,蒙德往事,2020年09月15日,锻造返还、自身附魔、自身伤害加成,蒙德城最大酒庄“晨曦酒庄”的庄主，蒙德商会首席，原西风骑士团骑兵队长。迪卢克掌握了蒙德的酒业之半，同时也掌握了蒙德金钱的流动脉络与酒馆的闲言碎语。,character,双手剑,晨曦酒庄,"['燃愿玛瑙碎屑*1', '燃愿玛瑙断片*9', '燃愿玛瑙块*9', '燃愿玛瑙*6', '常燃火种*46', '小灯草*168', '新兵的徽记*18', '士官的徽记*30', '尉官的徽记*36', '摩拉*2092530']","['抗争的教导*9', '抗争的指引*63', '抗争的哲学*114', '新兵的徽记*18', '士官的徽记*66', '尉官的徽记*93', '东风之翎*18', '智识之冕*3']","{'狼的末路': '武器特效和副词条可以为自身与队伍提供非常高的攻击力加成，十分契合迪卢克自身面板。由于狼末全身都是攻击力加成，所以圣遗物沙漏的选择可以选择精通沙漏提高反应的收益。', '天空之傲': '高基础面板，副词条是充能效率且特效为大招之后可以持续发出真空刃持续20秒或者发出8道真空刃，较为契合迪卢克40能量的元素爆发。由于副词条是充能，相比其他武器会少些直接伤害加成。', '松籁响起之时': '副词条为物理攻击百分比加成。武器效果不仅能直接提供攻击力加成，还可以短时间增加大量爆发，但有20秒的冷却效果，所以在打一些关卡较多的副本要注意卡好被动的冷却时间，使收益最大化。', '无工之剑': '主副词条和狼末一样提供大量攻击力加成，武器特效直接增加百分之二十护盾强效和一定攻击力，在有护盾角色的情况下效果还会提升100%，不仅增加了角色生存能力，还提升了角色攻击能力。', '螭骨剑': '提供大量暴击率加成，同时武器特效能直接提高伤害加成，是四星非常强势的武器，只是如果想保持特效最好带个护盾角色。', '试作古华': '不错的攻击力加成和简单获取方式，很好的平民武器。', '沐浴龙血的剑': '元素精通副词条，且能对处于火元素元素影响下的敌人直接增加伤害，很适合新手过渡使用。'}","['罪罚裁断', '炙热余烬', '钢铁炽焰', '流火焦灼', '昭告黎明的火之鸟', '清算黑暗的炎之剑']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/23/75276545/8ae58465155b31a21319522383027436_4999468226785017726.png
