id,mhy_id,name,ingredient,introduction,effect,condition,getting,func_type,rarity,label,icon
1,80,奇怪的蟹黄火腿焗时蔬,"['蟹黄*1', '火腿*1', '卷心菜*1', '奶油*1']",「配料奢华的煸菜。望着这浓浓的一滩，甚至都看不出之前往里面加了什么，或是少加了什么。」,复苏选中的角色，并为其恢复生900点生命值。,完成烹饪蟹黄火腿焗时蔬,【任务获取】餐品订单每日任务,三星,复活类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/4872412/00be7c52f30256dadef233881f8f00af_6807252338627502290.png
2,80,蟹黄火腿焗时蔬,"['蟹黄*1', '火腿*1', '卷心菜*1', '奶油*1']",「配料奢华的煸菜。金黄的外皮下，隐约透着玫红的火腿与青绿的蔬菜，丰富的配色让人不由食指大动。 」,复苏选中的角色，为其恢复1200点生命值。,成功烹饪蟹黄火腿焗时蔬,【任务获取】餐品订单每日任务,三星,复活类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/4872412/fecd4d85531c0702227623ef31be0464_3587743998966044965.png
3,80,美味的蟹黄火腿焗时蔬,"['蟹黄*1', '火腿*1', '卷心菜*1', '奶油*1']",「配料奢华的煸菜。还没入口都能闻到蟹黄和奶油散发出的浓香，感觉最后能把盘子舔个一干二净。」,复苏选中的角色，为其恢复1500点生命值。,完美烹饪蟹黄火腿焗时蔬,【任务获取】餐品订单每日任务,三星,复活类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/4872412/e0f11d6c16e2164472a88c843dac2513_5148774559326382732.png
4,80,伍玖叁式营养餐,"['蟹黄*1', '火腿*1', '卷心菜*1', '奶油*1']",砂糖的特色料理。乍一眼看上去像是某种奇妙的炼金产物，但据砂糖本人坚称是多次实验改良后才研发成功的营养餐品。「健康」的绿色来源于加入奶油中的天然蔬菜汁...蔬菜汁？,"复苏选中的角色，为其恢复生命值上限的20%,并额外恢复1500点生命值。",使用角色砂糖烹饪蟹黄火腿焗时蔬,【任务获取】餐品订单每日任务,三星,复活类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/09/16/75610764/ad09331cdc82a41e367936df03fdfea0_1606458565984669057.png
5,83,奇怪的满足沙拉,"['土豆*1', '鸟蛋*1', '卷心菜*2', '苹果*2']",凉拌的鲜蔬拼盘。光顾着摆盘错过了土豆和水煮蛋的出锅时间，令人遗憾。,队伍中所有角色暴击率提升6%，持续300秒。多人游戏时，仅对自己的角色生效。,完成烹饪满足沙拉,【其他】玩家自带,二星,暴击类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/06/12/6381993/3d7a58bc57fb94c9e59c65a9fea1211f_6597616954723374063.png
6,83,满足沙拉,"['土豆*1', '鸟蛋*1', '卷心菜*2', '苹果*2']",凉拌的鲜蔬拼盘。在水煮土豆和新鲜果蔬中间，摆上了半熟的鸡蛋。能够提供充足的饱腹感。,队伍中所有角色暴击率提升9%，持续300秒。多人游戏时，仅对自己的角色生效。,成功烹饪满足沙拉,【其他】玩家自带,二星,暴击类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/06/12/6381993/6b230c7aaae5ec5b4b58ae1964487fcc_4966105479938870957.png
7,83,美味的满足沙拉,"['土豆*1', '鸟蛋*1', '卷心菜*2', '苹果*2']",凉拌的鲜蔬拼盘。口感鲜爽而又轻盈，就算余生只能吃到这种沙拉，也不会厌倦。,队伍中所有角色暴击率提升12%，持续300秒。多人游戏时，仅对自己的角色生效。,完美烹饪满足沙拉,【其他】玩家自带,二星,暴击类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/06/12/6381993/0ec60844bc479e2c0da2cc11e68c8897_2130476651202712268.png
8,83,至高的智慧生活,"['土豆*1', '鸟蛋*1', '卷心菜*2', '苹果*2']",莫娜的特色料理。伟大占星术士的伟大之作，其中的最伟大之处在于这道菜肴能性价比极高地填饱肚子。,队伍中所有角色暴击率提升16%，持续300秒。多人游戏时，仅对自己的角色生效。,莫娜完美烹饪满足沙拉,【其他】玩家自带,二星,暴击类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/09/17/75610764/2a3afdfd9f6289b3fa012e902995973e_6545225314507189678.png
9,85,奇怪的渔人吐司,"['洋葱*1', '牛奶*1', '番茄*2', '面粉*3']",铺满洋葱的吐司。但烤得有些不对劲，即使一边钓鱼一边啃，也能尝出味道的差别。,队伍中所有角色防御力提高88点，持续300秒。多人游戏时，仅对自己的角色生效。,完成烹饪渔人吐司,【其他】玩家自带,二星,防御类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/10/10/75610764/3c98670c5a99eab0b09187722f1c7208_8370103085327876649.png
10,85,渔人吐司,"['洋葱*1', '牛奶*1', '番茄*2', '面粉*3']",铺满洋葱的吐司。是渔夫间流行的主食。他们会在包里塞满这种吐司，并在河边蹲上一整天。,队伍中所有角色防御力提高107点，持续300秒。多人游戏时，仅对自己的角色生效。,成功烹饪渔人吐司,【[猎鹿人]:莎拉购买；[万民堂]老板：卯师傅】玩家自带,二星,防御类,food,https://uploadstatic.mihoyo.com/ys-obc/2020/10/11/75610764/eb801efaa90024fe6033278844d4c871_2735414654785027212.png
