node1,rel,node2
千来神祠,part_of,鹤观
知比山,part_of,鹤观
逢岳之野,part_of,鹤观
笈名海滨,part_of,鹤观
菅名山,part_of,鹤观
惑饲滩,part_of,鹤观
茂知祭场,part_of,鹤观
平海砦,part_of,清籁岛
天云峠,part_of,清籁岛
越石村,part_of,清籁岛
「清籁丸」,part_of,清籁岛
浅濑神社,part_of,清籁岛
望泷村,part_of,海祇岛
珊瑚宫,part_of,海祇岛
水月池,part_of,海祇岛
曚云神社,part_of,海祇岛
踏鞴砂,part_of,神无冢
九条阵屋,part_of,神无冢
名椎滩,part_of,八酝岛
无想刃狭间,part_of,八酝岛
无明砦,part_of,八酝岛
绯木村,part_of,八酝岛
蛇神之首,part_of,八酝岛
蛇骨矿洞,part_of,八酝岛
藤兜砦,part_of,八酝岛
刃连岛,part_of,鸣神岛
鸣神大社·神樱,part_of,鸣神岛
稻妻城,part_of,鸣神岛
甘金岛,part_of,鸣神岛
白狐之野,part_of,鸣神岛
绀田村,part_of,鸣神岛
离岛,part_of,鸣神岛
影向山,part_of,鸣神岛
镇守之森,part_of,鸣神岛
神里屋敷,part_of,鸣神岛
荒海,part_of,鸣神岛
采樵谷,part_of,层岩巨渊
伏鳌谷,part_of,层岩巨渊
地面矿区,part_of,层岩巨渊
丹砂崖,part_of,层岩巨渊
天工峡,part_of,层岩巨渊
巨渊之口,part_of,层岩巨渊
琉璃峰,part_of,层岩巨渊
临时主矿道,part_of,地下矿区
地下水泽,part_of,地下矿区
巨渊主矿区,part_of,地下矿区
巨蛇岩洞,part_of,地下矿区
无名遗迹,part_of,地下矿区
崎岖石厅,part_of,地下矿区
荧光狭道,part_of,地下矿区
石门,part_of,碧水原
荻花洲,part_of,碧水原
望舒客栈,part_of,碧水原
轻策庄,part_of,碧水原
无妄坡,part_of,碧水原
地中之盐,part_of,碧水原
归离原,part_of,琼玑野
渌华池,part_of,琼玑野
明蕴镇,part_of,琼玑野
瑶光滩,part_of,琼玑野
翠玦坡,part_of,珉林
绝云间,part_of,珉林
庆云顶,part_of,珉林
奥藏山,part_of,珉林
华光林,part_of,珉林
琥牢山,part_of,珉林
南天门,part_of,珉林
天遒谷,part_of,珉林
遁玉陵,part_of,璃沙郊
灵矩关,part_of,璃沙郊
青墟浦,part_of,璃沙郊
璃月港,part_of,云来海
天衡山,part_of,云来海
孤云阁,part_of,云来海
覆雪之路,part_of,龙脊雪山
雪葬之都·旧宫,part_of,龙脊雪山
眠龙谷,part_of,龙脊雪山
寒天之钉,part_of,龙脊雪山
星荧洞窟,part_of,龙脊雪山
雪葬之都·近郊,part_of,龙脊雪山
蒙德城,part_of,坠星山谷
果酒湖,part_of,坠星山谷
低语森林,part_of,坠星山谷
星落湖,part_of,坠星山谷
摘星崖,part_of,坠星山谷
望风山地,part_of,坠星山谷
望风角,part_of,坠星山谷
千风神殿,part_of,坠星山谷
清泉镇,part_of,苍风高地
晨曦酒庄,part_of,苍风高地
奔狼领,part_of,苍风高地
风起地,part_of,风啸山坡
达达乌帕谷,part_of,风啸山坡
誓言岬,part_of,风啸山坡
鹰翔海滩,part_of,风啸山坡
马斯克礁,part_of,风啸山坡
风龙废墟,part_of,明冠山地
明冠峡,part_of,明冠山地
秘仪圣殿,part_of,列柱沙原
赤王陵,part_of,列柱沙原
避让之丘,part_of,列柱沙原
铄石之丘,part_of,列柱沙原
饱饮之丘,part_of,列柱沙原
丰饶绿洲,part_of,列柱沙原
荼诃落谷,part_of,上风蚀地
活力之家,part_of,下风蚀地
阿如村,part_of,下风蚀地
舍身陷坑,part_of,下风蚀地
圣显厅,part_of,下风蚀地
觉王之殿,part_of,失落的苗圃
往昔的桓那兰那,part_of,失落的苗圃
降诸魔山,part_of,阿陀河谷
维摩庄,part_of,阿陀河谷
奥摩斯港,part_of,阿陀河谷
水天丛林,part_of,善见地
荼诃之座,part_of,善见地
喀万驿,part_of,善见地
禅那园,part_of,善见地
谒颂幽境,part_of,善见地
天臂池,part_of,道成林
须弥城,part_of,道成林
茸蕈窟,part_of,道成林
卡萨扎莱宫,part_of,道成林
离渡谷,part_of,道成林
香醉坡,part_of,道成林
化城郭,part_of,道成林
无郁稠林,part_of,护世森
蛇肠之路,part_of,渊下宫
狭间之街,part_of,渊下宫
大日御舆,part_of,渊下宫
常夜灵庙,part_of,渊下宫
蛇心之地,part_of,渊下宫
歧之地,part_of,渊下宫
八衢彦之地,part_of,渊下宫
八衢姬之地,part_of,渊下宫
王之殿,part_of,二净甸
