node1,rel,node2
迪卢克,artifacts_is,魔女的炎之花
可莉,artifacts_is,魔女的炎之花
胡桃,artifacts_is,魔女的炎之花
香菱,artifacts_is,魔女的炎之花
烟绯,artifacts_is,魔女的炎之花
迪卢克,artifacts_is,魔女常燃之羽
可莉,artifacts_is,魔女常燃之羽
胡桃,artifacts_is,魔女常燃之羽
香菱,artifacts_is,魔女常燃之羽
烟绯,artifacts_is,魔女常燃之羽
迪卢克,artifacts_is,魔女破灭之时
可莉,artifacts_is,魔女破灭之时
胡桃,artifacts_is,魔女破灭之时
香菱,artifacts_is,魔女破灭之时
烟绯,artifacts_is,魔女破灭之时
迪卢克,artifacts_is,魔女的心之火
可莉,artifacts_is,魔女的心之火
胡桃,artifacts_is,魔女的心之火
香菱,artifacts_is,魔女的心之火
烟绯,artifacts_is,魔女的心之火
迪卢克,artifacts_is,焦灼的魔女帽
可莉,artifacts_is,焦灼的魔女帽
胡桃,artifacts_is,焦灼的魔女帽
香菱,artifacts_is,焦灼的魔女帽
烟绯,artifacts_is,焦灼的魔女帽
诺艾尔,artifacts_is,磐陀裂生之花
凝光,artifacts_is,磐陀裂生之花
诺艾尔,artifacts_is,嵯峨群峰之翼
凝光,artifacts_is,嵯峨群峰之翼
诺艾尔,artifacts_is,星罗圭璧之晷
凝光,artifacts_is,星罗圭璧之晷
诺艾尔,artifacts_is,巉岩琢塑之樽
凝光,artifacts_is,巉岩琢塑之樽
诺艾尔,artifacts_is,不动玄石之相
凝光,artifacts_is,不动玄石之相
钟离,artifacts_is,夏祭之花
钟离,artifacts_is,夏祭终末
钟离,artifacts_is,夏祭之刻
钟离,artifacts_is,夏祭水玉
钟离,artifacts_is,夏祭之面
迪卢克,artifacts_is,渡火者的决绝
可莉,artifacts_is,渡火者的决绝
迪卢克,artifacts_is,渡火者的解脱
可莉,artifacts_is,渡火者的解脱
迪卢克,artifacts_is,渡火者的醒悟
可莉,artifacts_is,渡火者的醒悟
迪卢克,artifacts_is,渡火者的煎熬
可莉,artifacts_is,渡火者的煎熬
迪卢克,artifacts_is,渡火者的智慧
可莉,artifacts_is,渡火者的智慧
珊瑚宫心海,artifacts_is,远方的少女之心
芭芭拉,artifacts_is,远方的少女之心
迪奥娜,artifacts_is,远方的少女之心
班尼特,artifacts_is,远方的少女之心
七七,artifacts_is,远方的少女之心
琴,artifacts_is,远方的少女之心
珊瑚宫心海,artifacts_is,少女飘摇的思念
芭芭拉,artifacts_is,少女飘摇的思念
迪奥娜,artifacts_is,少女飘摇的思念
班尼特,artifacts_is,少女飘摇的思念
七七,artifacts_is,少女飘摇的思念
琴,artifacts_is,少女飘摇的思念
珊瑚宫心海,artifacts_is,少女苦短的良辰
芭芭拉,artifacts_is,少女苦短的良辰
迪奥娜,artifacts_is,少女苦短的良辰
班尼特,artifacts_is,少女苦短的良辰
七七,artifacts_is,少女苦短的良辰
琴,artifacts_is,少女苦短的良辰
珊瑚宫心海,artifacts_is,少女片刻的闲暇
芭芭拉,artifacts_is,少女片刻的闲暇
迪奥娜,artifacts_is,少女片刻的闲暇
班尼特,artifacts_is,少女片刻的闲暇
七七,artifacts_is,少女片刻的闲暇
琴,artifacts_is,少女片刻的闲暇
珊瑚宫心海,artifacts_is,少女易逝的芳颜
芭芭拉,artifacts_is,少女易逝的芳颜
迪奥娜,artifacts_is,少女易逝的芳颜
班尼特,artifacts_is,少女易逝的芳颜
七七,artifacts_is,少女易逝的芳颜
琴,artifacts_is,少女易逝的芳颜
辛焱,artifacts_is,染血的铁之心
辛焱,artifacts_is,染血的黑之羽
辛焱,artifacts_is,骑士染血之时
辛焱,artifacts_is,染血的骑士之杯
辛焱,artifacts_is,染血的铁假面
甘雨,artifacts_is,乐团的晨光
可莉,artifacts_is,乐团的晨光
安柏,artifacts_is,乐团的晨光
烟绯,artifacts_is,乐团的晨光
甘雨,artifacts_is,琴师的箭羽
可莉,artifacts_is,琴师的箭羽
安柏,artifacts_is,琴师的箭羽
烟绯,artifacts_is,琴师的箭羽
甘雨,artifacts_is,终幕的时计
可莉,artifacts_is,终幕的时计
安柏,artifacts_is,终幕的时计
烟绯,artifacts_is,终幕的时计
甘雨,artifacts_is,吟游者之壶
可莉,artifacts_is,吟游者之壶
安柏,artifacts_is,吟游者之壶
烟绯,artifacts_is,吟游者之壶
甘雨,artifacts_is,指挥的礼帽
可莉,artifacts_is,指挥的礼帽
安柏,artifacts_is,指挥的礼帽
烟绯,artifacts_is,指挥的礼帽
刻晴,artifacts_is,平雷之心
北斗,artifacts_is,平雷之心
菲谢尔,artifacts_is,平雷之心
刻晴,artifacts_is,平雷之羽
北斗,artifacts_is,平雷之羽
菲谢尔,artifacts_is,平雷之羽
