node1,rel,node2
阿贝多,breaking_material_is,坚牢黄玉碎屑
阿贝多,breaking_material_is,坚牢黄玉断片
阿贝多,breaking_material_is,坚牢黄玉块
阿贝多,breaking_material_is,坚牢黄玉
阿贝多,breaking_material_is,玄岩之塔
阿贝多,breaking_material_is,塞西莉亚花
阿贝多,breaking_material_is,导能绘卷
阿贝多,breaking_material_is,封魔绘卷
阿贝多,breaking_material_is,禁咒绘卷
阿贝多,breaking_material_is,摩拉
埃洛伊,breaking_material_is,哀叙冰玉碎屑
埃洛伊,breaking_material_is,哀叙冰玉断片
埃洛伊,breaking_material_is,哀叙冰玉块
埃洛伊,breaking_material_is,哀叙冰玉
埃洛伊,breaking_material_is,晶凝之华
埃洛伊,breaking_material_is,晶化骨髓
埃洛伊,breaking_material_is,浮游干核
埃洛伊,breaking_material_is,浮游幽核
埃洛伊,breaking_material_is,浮游晶化核
埃洛伊,breaking_material_is,摩拉
安柏,breaking_material_is,燃愿玛瑙碎屑
安柏,breaking_material_is,燃愿玛瑙断片
安柏,breaking_material_is,燃愿玛瑙块
安柏,breaking_material_is,燃愿玛瑙
安柏,breaking_material_is,常燃火种
安柏,breaking_material_is,小灯草
安柏,breaking_material_is,牢固的箭簇
安柏,breaking_material_is,锐利的箭簇
安柏,breaking_material_is,历战的箭簇
安柏,breaking_material_is,摩拉
八重神子,breaking_material_is,最胜紫晶碎屑
八重神子,breaking_material_is,最胜紫晶断片
八重神子,breaking_material_is,最胜紫晶块
八重神子,breaking_material_is,最胜紫晶
八重神子,breaking_material_is,龙嗣伪鳍
八重神子,breaking_material_is,海灵芝
八重神子,breaking_material_is,破旧的刀镡
八重神子,breaking_material_is,影打刀镡
八重神子,breaking_material_is,名刀镡
八重神子,breaking_material_is,摩拉
芭芭拉,breaking_material_is,涤净青金碎屑
芭芭拉,breaking_material_is,涤净青金断片
芭芭拉,breaking_material_is,涤净青金块
芭芭拉,breaking_material_is,涤净青金
芭芭拉,breaking_material_is,净水之心
芭芭拉,breaking_material_is,慕风蘑菇
芭芭拉,breaking_material_is,导能绘卷
芭芭拉,breaking_material_is,封魔绘卷
芭芭拉,breaking_material_is,禁咒绘卷
芭芭拉,breaking_material_is,摩拉
班尼特,breaking_material_is,燃愿玛瑙碎屑
班尼特,breaking_material_is,燃愿玛瑙断片
班尼特,breaking_material_is,燃愿玛瑙块
班尼特,breaking_material_is,燃愿玛瑙
