node1,rel,node2
阿贝多,come_from,蒙德
埃洛伊,come_from,暂无
安柏,come_from,蒙德
八重神子,come_from,稻妻
芭芭拉,come_from,蒙德
班尼特,come_from,蒙德
北斗,come_from,璃月
达达利亚,come_from,至冬
迪奥娜,come_from,蒙德
迪卢克,come_from,蒙德
多莉,come_from,须弥
菲谢尔,come_from,蒙德
枫原万叶,come_from,稻妻
甘雨,come_from,璃月
胡桃,come_from,璃月
荒泷一斗,come_from,璃月
九条裟罗,come_from,稻妻
久岐忍,come_from,稻妻
凯亚,come_from,蒙德
坎蒂丝,come_from,须弥
柯莱,come_from,须弥
可莉,come_from,蒙德
刻晴,come_from,璃月
雷电将军,come_from,稻妻
雷泽,come_from,蒙德
丽莎,come_from,蒙德
鹿野院平藏,come_from,稻妻
罗莎莉亚,come_from,蒙德
莫娜,come_from,蒙德
妮露,come_from,须弥
凝光,come_from,璃月
诺艾尔,come_from,蒙德
七七,come_from,璃月
琴,come_from,蒙德
赛诺,come_from,须弥
砂糖,come_from,蒙德
珊瑚宫心海,come_from,稻妻
申鹤,come_from,璃月
神里绫华,come_from,稻妻
神里绫人,come_from,稻妻
提纳里,come_from,须弥
托马,come_from,稻妻
温迪,come_from,蒙德
五郎,come_from,稻妻
香菱,come_from,卯香菱
宵宫,come_from,稻妻
魈,come_from,璃月
辛焱,come_from,璃月
行秋,come_from,璃月
烟绯,come_from,璃月
夜兰,come_from,璃月
优菈,come_from,蒙德
云堇,come_from,璃月
早柚,come_from,稻妻
钟离,come_from,璃月
重云,come_from,璃月
