node1,rel,node2
阿贝多,element_is,岩
埃洛伊,element_is,冰
安柏,element_is,火
八重神子,element_is,雷
芭芭拉,element_is,水
班尼特,element_is,火
北斗,element_is,雷
达达利亚,element_is,水
迪奥娜,element_is,冰
迪卢克,element_is,火
多莉,element_is,雷
菲谢尔,element_is,雷
枫原万叶,element_is,风
甘雨,element_is,冰
胡桃,element_is,火
荒泷一斗,element_is,岩
九条裟罗,element_is,雷
久岐忍,element_is,雷
凯亚,element_is,冰
坎蒂丝,element_is,水
柯莱,element_is,草
可莉,element_is,火
刻晴,element_is,雷
雷电将军,element_is,雷
雷泽,element_is,雷
丽莎,element_is,雷
鹿野院平藏,element_is,风
罗莎莉亚,element_is,冰
莫娜,element_is,水
妮露,element_is,水
凝光,element_is,岩
诺艾尔,element_is,岩
七七,element_is,冰
琴,element_is,风
赛诺,element_is,雷
砂糖,element_is,风
珊瑚宫心海,element_is,水
申鹤,element_is,冰'
神里绫华,element_is,冰
神里绫人,element_is,水
提纳里,element_is,草
托马,element_is,火
温迪,element_is,风
五郎,element_is,岩
香菱,element_is,火
宵宫,element_is,火
魈,element_is,风
辛焱,element_is,火
行秋,element_is,水
烟绯,element_is,火
夜兰,element_is,水
优菈,element_is,冰
云堇,element_is,岩
早柚,element_is,风
钟离,element_is,岩
重云,element_is,冰
