node1,rel,node2
砂糖,special_food,伍玖叁式营养餐
莫娜,special_food,至高的智慧（生活）
可莉,special_food,鱼香吐司
芭芭拉,special_food,辣味时蔬烩肉
诺艾尔,special_food,厚云朵松饼
班尼特,special_food,提瓦特焦蛋
雷泽,special_food,爪爪土豆饼
丽莎,special_food,魔法肉酱面
琴,special_food,提神醒脑披萨
安柏,special_food,侦察骑士烤肉！
罗莎莉亚,special_food,审判的晚宴
凯亚,special_food,果香串烤
迪奥娜,special_food,绝对不是下酒菜
北斗,special_food,炝炒肉片
凝光,special_food,乾坤摩拉肉
香菱,special_food,万民堂水煮鱼
刻晴的,special_food,绝境求生烤鱼
云堇,special_food,云遮玉
七七,special_food,没有未来菜
钟离,special_food,文火慢炖腌笃鲜
优菈,special_food,骇浪派
甘雨,special_food,盛世太平
胡桃,special_food,幽幽大行军
埃洛伊,special_food,饱腹感凝胶
烟绯,special_food,自有方圆
夜兰,special_food,沾露虾仁
早柚,special_food,头晕回避术·改
神里绫人,special_food,静寂闲雅
五郎,special_food,常胜传说
荒泷一斗,special_food,强者之道
托马,special_food,暖意
九条裟罗,special_food,永恒的信仰
宵宫,special_food,夏祭游鱼
枫原万叶,special_food,雨奇晴好
神里绫华,special_food,红炉一点雪
珊瑚宫心海,special_food,「奇策」
久岐忍,special_food,蛋包饭
申鹤,special_food,连心面
八重神子,special_food,福内乌冬
鹿野院平藏,special_food,唯一的真相
多莉,special_food,摩拉急速来
柯莱,special_food,口袋饼
提纳里,special_food,巡林官精选
赛诺,special_food,决斗之魂
坎蒂丝,special_food,关怀备至
妮露,special_food,帕蒂沙兰布丁
