node1,rel,node2
阿贝多,weapon_is,辰砂之纺锤
阿贝多,weapon_is,腐殖之剑
阿贝多,weapon_is,黎明神剑
埃洛伊,weapon_is,飞雷之弦振
埃洛伊,weapon_is,天空之翼
埃洛伊,weapon_is,阿莫斯之弓
埃洛伊,weapon_is,掠食者
埃洛伊,weapon_is,弓藏
埃洛伊,weapon_is,破魔之弓
安柏,weapon_is,阿莫斯之弓
安柏,weapon_is,绝弦
八重神子,weapon_is,神乐之真意
八重神子,weapon_is,天空之卷
八重神子,weapon_is,流浪乐章
八重神子,weapon_is,匣里日月
八重神子,weapon_is,万国诸海图谱
八重神子,weapon_is,白辰之环
芭芭拉,weapon_is,不灭月华
芭芭拉,weapon_is,试作金珀
芭芭拉,weapon_is,西风秘典
芭芭拉,weapon_is,讨龙英杰谭
班尼特,weapon_is,雾切之回光
班尼特,weapon_is,磐岩结绿
班尼特,weapon_is,风鹰剑
班尼特,weapon_is,天空之刃
班尼特,weapon_is,苍古自由之誓
班尼特,weapon_is,暗巷闪光
班尼特,weapon_is,腐殖之剑
班尼特,weapon_is,西风剑
北斗,weapon_is,天空之傲
北斗,weapon_is,狼的末路
北斗,weapon_is,无工之剑
北斗,weapon_is,千岩古剑
北斗,weapon_is,螭骨剑
北斗,weapon_is,恶王丸
北斗,weapon_is,衔珠海皇
达达利亚,weapon_is,冬极白星
达达利亚,weapon_is,若水
达达利亚,weapon_is,飞雷之弦振
达达利亚,weapon_is,天空之翼
达达利亚,weapon_is,弓藏
达达利亚,weapon_is,绝弦
达达利亚,weapon_is,苍翠猎弓
达达利亚,weapon_is,破魔之弓
迪奥娜,weapon_is,终末嗟叹之诗
迪奥娜,weapon_is,祭礼弓
迪奥娜,weapon_is,西风猎弓
迪奥娜,weapon_is,反曲弓
迪卢克,weapon_is,狼的末路
迪卢克,weapon_is,天空之傲
迪卢克,weapon_is,松籁响起之时
迪卢克,weapon_is,无工之剑
迪卢克,weapon_is,螭骨剑
迪卢克,weapon_is,试作古华
迪卢克,weapon_is,沐浴龙血的剑
多莉,weapon_is,森林王器
多莉,weapon_is,祭礼大剑
多莉,weapon_is,西风大剑
菲谢尔,weapon_is,天空之翼
菲谢尔,weapon_is,飞雷之弦振
菲谢尔,weapon_is,绝弦
菲谢尔,weapon_is,幽夜华尔兹
菲谢尔,weapon_is,暗巷猎手
菲谢尔,weapon_is,弓藏
枫原万叶,weapon_is,苍古自由之誓
枫原万叶,weapon_is,磐岩结绿
枫原万叶,weapon_is,祭礼剑
枫原万叶,weapon_is,铁蜂刺
枫原万叶,weapon_is,腐殖之剑
枫原万叶,weapon_is,暗铁剑
甘雨,weapon_is,阿莫斯之弓
甘雨,weapon_is,若水
甘雨,weapon_is,天空之翼
甘雨,weapon_is,冬极白星
甘雨,weapon_is,猎人之径
甘雨,weapon_is,试作澹月
甘雨,weapon_is,破魔之弓
甘雨,weapon_is,黑岩战弓
胡桃,weapon_is,护摩之杖
胡桃,weapon_is,和璞鸢
胡桃,weapon_is,决斗之枪
胡桃,weapon_is,匣里灭辰
荒泷一斗,weapon_is,赤角石溃杵
荒泷一斗,weapon_is,螭骨剑
荒泷一斗,weapon_is,白影剑
九条裟罗,weapon_is,终末嗟叹之诗
九条裟罗,weapon_is,天空之翼
九条裟罗,weapon_is,祭礼弓
九条裟罗,weapon_is,暗巷猎手
九条裟罗,weapon_is,西风猎弓
久岐忍,weapon_is,磐岩结绿
久岐忍,weapon_is,苍古自由之誓
久岐忍,weapon_is,西风剑
久岐忍,weapon_is,铁蜂刺
久岐忍,weapon_is,暗铁剑
凯亚,weapon_is,风鹰剑
凯亚,weapon_is,天空之刃
凯亚,weapon_is,黑剑
坎蒂丝,weapon_is,黑缨枪
坎蒂丝,weapon_is,西风长枪
坎蒂丝,weapon_is,喜多院十文字
坎蒂丝,weapon_is,试作星镰
坎蒂丝,weapon_is,护摩之杖
坎蒂丝,weapon_is,和璞鸢
坎蒂丝,weapon_is,决斗之枪
柯莱,weapon_is,终末嗟叹之诗
柯莱,weapon_is,绝弦
柯莱,weapon_is,祭礼弓
柯莱,weapon_is,西风猎弓
柯莱,weapon_is,风花之颂
可莉,weapon_is,神乐之真意
可莉,weapon_is,四风原典
可莉,weapon_is,尘世之锁
可莉,weapon_is,流浪乐章
可莉,weapon_is,匣里日月
可莉,weapon_is,嘟嘟可故事集
刻晴,weapon_is,磐岩结绿
刻晴,weapon_is,雾切之回光
刻晴,weapon_is,风鹰剑
刻晴,weapon_is,斫峰之刃
刻晴,weapon_is,黑剑
刻晴,weapon_is,匣里龙吟
雷电将军,weapon_is,薙草之稻光
雷电将军,weapon_is,护摩之杖
雷电将军,weapon_is,和璞鸢
雷电将军,weapon_is,天空之脊
雷电将军,weapon_is,西风长枪
雷电将军,weapon_is,决斗之枪
雷泽,weapon_is,松籁响起之时
雷泽,weapon_is,无工之剑
雷泽,weapon_is,狼的末路
雷泽,weapon_is,天空之傲
雷泽,weapon_is,螭骨剑
雷泽,weapon_is,试作古华
丽莎,weapon_is,神乐之真意
丽莎,weapon_is,天空之卷
丽莎,weapon_is,四风原典
丽莎,weapon_is,匣里日月
丽莎,weapon_is,流浪乐章
丽莎,weapon_is,万国诸海图谱
鹿野院平藏,weapon_is,神乐之真意
鹿野院平藏,weapon_is,天空之卷
鹿野院平藏,weapon_is,尘世之锁
鹿野院平藏,weapon_is,四风原典
鹿野院平藏,weapon_is,匣里日月
鹿野院平藏,weapon_is,流浪乐章
鹿野院平藏,weapon_is,忍冬之果
罗莎莉亚,weapon_is,天空之脊
罗莎莉亚,weapon_is,和璞鸢
罗莎莉亚,weapon_is,决斗之枪
罗莎莉亚,weapon_is,西风长枪
罗莎莉亚,weapon_is,龙脊长枪
罗莎莉亚,weapon_is,宗室猎枪
罗莎莉亚,weapon_is,流月针
莫娜,weapon_is,四风原典
莫娜,weapon_is,天空之卷
莫娜,weapon_is,匣里日月
莫娜,weapon_is,流浪乐章
莫娜,weapon_is,试作金珀
莫娜,weapon_is,讨龙英杰谭
妮露,weapon_is,圣显之钥
妮露,weapon_is,苍古自由之誓
妮露,weapon_is,磐岩结绿
妮露,weapon_is,雾切之回光
妮露,weapon_is,波乱月白经津
妮露,weapon_is,黎明神剑
妮露,weapon_is,铁蜂刺
妮露,weapon_is,腐殖之剑
凝光,weapon_is,尘世之锁
凝光,weapon_is,四风原典
凝光,weapon_is,天空之卷
凝光,weapon_is,匣里日月
凝光,weapon_is,流浪乐章
诺艾尔,weapon_is,赤角石溃杵
诺艾尔,weapon_is,无工之剑
诺艾尔,weapon_is,白影剑
诺艾尔,weapon_is,螭骨剑
七七,weapon_is,斫峰之刃
七七,weapon_is,祭礼剑
七七,weapon_is,西风剑
七七,weapon_is,试作斩岩
琴,weapon_is,风鹰剑
琴,weapon_is,斫峰之刃
琴,weapon_is,苍古自由之誓
琴,weapon_is,天空之刃
琴,weapon_is,磐岩结绿
琴,weapon_is,天目影打刀
琴,weapon_is,西风剑
琴,weapon_is,祭礼剑
琴,weapon_is,腐殖之剑
赛诺,weapon_is,赤沙之杖
赛诺,weapon_is,和璞鸢
赛诺,weapon_is,护摩之杖
赛诺,weapon_is,贯虹之槊
赛诺,weapon_is,决斗之枪
赛诺,weapon_is,白缨枪
赛诺,weapon_is,黑岩刺枪
砂糖,weapon_is,祭礼残章
砂糖,weapon_is,万国诸海图谱
砂糖,weapon_is,讨龙英杰谭
珊瑚宫心海,weapon_is,不灭月华
珊瑚宫心海,weapon_is,试作金珀
珊瑚宫心海,weapon_is,祭礼残章
珊瑚宫心海,weapon_is,讨龙英杰谭
申鹤,weapon_is,息灾
申鹤,weapon_is,薙草之稻光
申鹤,weapon_is,护摩之杖
申鹤,weapon_is,贯虹之槊
申鹤,weapon_is,天空之脊
申鹤,weapon_is,和璞鸢
申鹤,weapon_is,千岩长枪
神里绫华,weapon_is,雾切之回光
神里绫华,weapon_is,磐岩结绿
神里绫华,weapon_is,斫峰之刃
神里绫华,weapon_is,天目影打刀
神里绫华,weapon_is,黑岩长剑
神里绫华,weapon_is,黎明神剑
神里绫人,weapon_is,波乱月白经津
神里绫人,weapon_is,磐岩结绿
神里绫人,weapon_is,雾切之回光
神里绫人,weapon_is,黑剑
神里绫人,weapon_is,匣里龙吟
神里绫人,weapon_is,天目影打刀
提纳里,weapon_is,猎人之径
提纳里,weapon_is,天空之翼
提纳里,weapon_is,若水
提纳里,weapon_is,阿莫斯之弓
提纳里,weapon_is,冬极白星
提纳里,weapon_is,苍翠猎弓
提纳里,weapon_is,绝弦
提纳里,weapon_is,风花之颂
提纳里,weapon_is,破魔之弓
提纳里,weapon_is,试作澹月
托马,weapon_is,天空之脊
托马,weapon_is,薙草之稻光
托马,weapon_is,护摩之杖
托马,weapon_is,喜多院十文字
托马,weapon_is,西风长枪
托马,weapon_is,渔获
托马,weapon_is,黑缨枪
温迪,weapon_is,终末嗟叹之诗
温迪,weapon_is,冬极白星
温迪,weapon_is,天空之翼
温迪,weapon_is,绝弦
温迪,weapon_is,西风猎弓
温迪,weapon_is,风花之颂
五郎,weapon_is,终末嗟叹之诗
五郎,weapon_is,西风猎弓
五郎,weapon_is,祭礼弓
香菱,weapon_is,薙草之稻光
香菱,weapon_is,护摩之杖
香菱,weapon_is,和璞鸢
香菱,weapon_is,天空之脊
香菱,weapon_is,渔获
香菱,weapon_is,决斗之枪
宵宫,weapon_is,飞雷之弦振
宵宫,weapon_is,冬极白星
宵宫,weapon_is,天空之翼
宵宫,weapon_is,弓藏
魈,weapon_is,和璞鸢
魈,weapon_is,护摩之杖
魈,weapon_is,贯虹之槊
