node1,rel,node2
「自由」的指引,drop_from,忘却之峡
「自由」的教导,drop_from,忘却之峡
「自由」的哲学,drop_from,忘却之峡
「抗争」的教导,drop_from,忘却之峡
「抗争」的指引,drop_from,忘却之峡
「抗争」的哲学,drop_from,忘却之峡
「诗文」的教导,drop_from,忘却之峡
「诗文」的指引,drop_from,忘却之峡
「诗文」的哲学,drop_from,忘却之峡
「繁荣」的教导,drop_from,太山府
「繁荣」的哲学,drop_from,太山府
「繁荣」的指引,drop_from,太山府
「勤劳」的哲学,drop_from,太山府
「勤劳」的指引,drop_from,太山府
「勤劳」的教导,drop_from,太山府
「黄金」的指引,drop_from,太山府
「黄金」的教导,drop_from,太山府
「黄金」的哲学,drop_from,太山府
「诤言」的哲学,drop_from,昏识塔
「诤言」的教导,drop_from,昏识塔
「诤言」的指引,drop_from,昏识塔
「巧思」的指引,drop_from,昏识塔
「巧思」的哲学,drop_from,昏识塔
「巧思」的教导,drop_from,昏识塔
「笃行」的教导,drop_from,昏识塔
「笃行」的指引,drop_from,昏识塔
「笃行」的哲学,drop_from,昏识塔
「浮世」的哲学,drop_from,菫色之庭
「浮世」的教导,drop_from,菫色之庭
「浮世」的指引,drop_from,菫色之庭
「风雅」的教导,drop_from,菫色之庭
「风雅」的指引,drop_from,菫色之庭
「风雅」的哲学,drop_from,菫色之庭
「天光」的指引,drop_from,菫色之庭
「天光」的教导,drop_from,菫色之庭
「天光」的哲学,drop_from,菫色之庭
高塔孤王的残垣,drop_from,塞西莉亚苗圃
高塔孤王的断片,drop_from,塞西莉亚苗圃
高塔孤王的破瓦,drop_from,塞西莉亚苗圃
高塔孤王的碎梦,drop_from,塞西莉亚苗圃
凛风奔狼的始龀,drop_from,塞西莉亚苗圃
凛风奔狼的裂齿,drop_from,塞西莉亚苗圃
凛风奔狼的断牙,drop_from,塞西莉亚苗圃
凛风奔狼的怀乡,drop_from,塞西莉亚苗圃
狮牙斗士的镣铐,drop_from,塞西莉亚苗圃
狮牙斗士的理想,drop_from,塞西莉亚苗圃
狮牙斗士的铁链,drop_from,塞西莉亚苗圃
狮牙斗士的枷锁,drop_from,塞西莉亚苗圃
远海夷地的瑚枝,drop_from,砂流之庭
远海夷地的玉枝,drop_from,砂流之庭
远海夷地的金枝,drop_from,砂流之庭
远海夷地的琼枝,drop_from,砂流之庭
鸣神御灵的勇武,drop_from,砂流之庭
鸣神御灵的亲爱,drop_from,砂流之庭
鸣神御灵的明惠,drop_from,砂流之庭
鸣神御灵的欢喜,drop_from,砂流之庭
今昔剧画之恶尉,drop_from,砂流之庭
今昔剧画之鬼人,drop_from,砂流之庭
今昔剧画之一角,drop_from,砂流之庭
今昔剧画之虎啮,drop_from,砂流之庭
孤云寒林的神体,drop_from,震雷连山密宫
孤云寒林的圣骸,drop_from,震雷连山密宫
孤云寒林的光砂,drop_from,震雷连山密宫
孤云寒林的辉岩,drop_from,震雷连山密宫
雾海云间的铅丹,drop_from,震雷连山密宫
雾海云间的金丹,drop_from,震雷连山密宫
雾海云间的汞丹,drop_from,震雷连山密宫
雾海云间的转还,drop_from,震雷连山密宫
漆黑陨铁的一块,drop_from,震雷连山密宫
漆黑陨铁的一角,drop_from,震雷连山密宫
漆黑陨铁的一片,drop_from,震雷连山密宫
漆黑陨铁的一粒,drop_from,震雷连山密宫
谧林涓露的铜符,drop_from,有顶塔
谧林涓露的银符,drop_from,有顶塔
谧林涓露的铁符,drop_from,有顶塔
谧林涓露的金符,drop_from,有顶塔
绿洲花园的恩惠,drop_from,有顶塔
绿洲花园的哀思,drop_from,有顶塔
绿洲花园的真谛,drop_from,有顶塔
绿洲花园的追忆,drop_from,有顶塔
烈日威权的旧日,drop_from,有顶塔
烈日威权的梦想,drop_from,有顶塔
烈日威权的残响,drop_from,有顶塔
烈日威权的余光,drop_from,有顶塔
