node1,rel,node2
摩拉,drop_from,岩盾丘丘暴徒
沉重号角,drop_from,岩盾丘丘暴徒
黑铜号角,drop_from,岩盾丘丘暴徒
黑晶号角,drop_from,岩盾丘丘暴徒
破损的面具,drop_from,岩盾丘丘暴徒
污秽的面具,drop_from,岩盾丘丘暴徒
不祥的面具,drop_from,岩盾丘丘暴徒
战狂,drop_from,岩盾丘丘暴徒
教官,drop_from,岩盾丘丘暴徒
流放者,drop_from,岩盾丘丘暴徒
游医,drop_from,岩盾丘丘暴徒
冒险阅历,drop_from,无相之岩·基末尔
摩拉,drop_from,无相之岩·基末尔
好感经验,drop_from,无相之岩·基末尔
角色经验,drop_from,无相之岩·基末尔
玄岩之塔,drop_from,无相之岩·基末尔
坚牢黄玉碎屑,drop_from,无相之岩·基末尔
坚牢黄玉断片,drop_from,无相之岩·基末尔
坚牢黄玉块,drop_from,无相之岩·基末尔
坚牢黄玉,drop_from,无相之岩·基末尔
教官,drop_from,无相之岩·基末尔
流放者,drop_from,无相之岩·基末尔
游医,drop_from,无相之岩·基末尔
角斗士的终幕礼,drop_from,无相之岩·基末尔
流浪大地的乐团,drop_from,无相之岩·基末尔
摩拉,drop_from,丘丘岩盔王
沉重号角,drop_from,丘丘岩盔王
黑铜号角,drop_from,丘丘岩盔王
黑晶号角,drop_from,丘丘岩盔王
破损的面具,drop_from,丘丘岩盔王
污秽的面具,drop_from,丘丘岩盔王
不祥的面具,drop_from,丘丘岩盔王
战狂,drop_from,丘丘岩盔王
教官,drop_from,丘丘岩盔王
流放者,drop_from,丘丘岩盔王
游医,drop_from,丘丘岩盔王
摩拉,drop_from,岩盾丘丘人
破损的面具,drop_from,岩盾丘丘人
污秽的面具,drop_from,岩盾丘丘人
不祥的面具,drop_from,岩盾丘丘人
摩拉,drop_from,岩丘丘萨满
导能绘卷,drop_from,岩丘丘萨满
封魔绘卷,drop_from,岩丘丘萨满
禁咒绘卷,drop_from,岩丘丘萨满
破损的面具,drop_from,岩丘丘萨满
污秽的面具,drop_from,岩丘丘萨满
不祥的面具,drop_from,岩丘丘萨满
摩拉,drop_from,岩史莱姆
史莱姆凝液,drop_from,岩史莱姆
史莱姆清,drop_from,岩史莱姆
史莱姆原浆,drop_from,岩史莱姆
摩拉,drop_from,愚人众先遣队·岩使游击兵
新兵的徽记,drop_from,愚人众先遣队·岩使游击兵
士官的徽记,drop_from,愚人众先遣队·岩使游击兵
尉官的徽记,drop_from,愚人众先遣队·岩使游击兵
摩拉,drop_from,岩龙蜥
脆弱的骨片,drop_from,岩龙蜥
结实的骨片,drop_from,岩龙蜥
石化的骨片,drop_from,岩龙蜥
战狂,drop_from,岩龙蜥
教官,drop_from,岩龙蜥
流放者,drop_from,岩龙蜥
游医,drop_from,岩龙蜥
冒险阅历,drop_from,古岩龙蜥
摩拉,drop_from,古岩龙蜥
好感经验,drop_from,古岩龙蜥
角色经验,drop_from,古岩龙蜥
未熟之玉,drop_from,古岩龙蜥
坚牢黄玉碎屑,drop_from,古岩龙蜥
坚牢黄玉断片,drop_from,古岩龙蜥
坚牢黄玉块,drop_from,古岩龙蜥
坚牢黄玉,drop_from,古岩龙蜥
最胜紫晶碎屑,drop_from,古岩龙蜥
最胜紫晶断片,drop_from,古岩龙蜥
最胜紫晶块,drop_from,古岩龙蜥
最胜紫晶,drop_from,古岩龙蜥
哀叙冰玉碎屑,drop_from,古岩龙蜥
哀叙冰玉断片,drop_from,古岩龙蜥
哀叙冰玉块,drop_from,古岩龙蜥
哀叙冰玉,drop_from,古岩龙蜥
燃愿玛瑙碎屑,drop_from,古岩龙蜥
燃愿玛瑙断片,drop_from,古岩龙蜥
燃愿玛瑙块,drop_from,古岩龙蜥
燃愿玛瑙,drop_from,古岩龙蜥
涤净青金碎屑,drop_from,古岩龙蜥
涤净青金断片,drop_from,古岩龙蜥
涤净青金块,drop_from,古岩龙蜥
涤净青金,drop_from,古岩龙蜥
战狂,drop_from,古岩龙蜥
