node1,rel,node2
新手长枪,breaking_material_is,狮牙斗士的枷锁
新手长枪,breaking_material_is,狮牙斗士的铁链
新手长枪,breaking_material_is,狮牙斗士的镣铐
新手长枪,breaking_material_is,混沌装置
新手长枪,breaking_material_is,混沌回路
新手长枪,breaking_material_is,导能绘卷
新手长枪,breaking_material_is,封魔绘卷
新手长枪,breaking_material_is,精锻用魔矿
训练大剑,breaking_material_is,凛风奔狼的始龀
训练大剑,breaking_material_is,凛风奔狼的裂齿
训练大剑,breaking_material_is,凛风奔狼的断牙
训练大剑,breaking_material_is,地脉的旧枝
训练大剑,breaking_material_is,地脉的枯叶
训练大剑,breaking_material_is,史莱姆凝液
训练大剑,breaking_material_is,史莱姆清
训练大剑,breaking_material_is,精锻用魔矿
学徒笔记,breaking_material_is,高塔孤王的破瓦
学徒笔记,breaking_material_is,高塔孤王的残垣
学徒笔记,breaking_material_is,高塔孤王的断片
学徒笔记,breaking_material_is,沉重号角
学徒笔记,breaking_material_is,黑铜号角
学徒笔记,breaking_material_is,破损的面具
学徒笔记,breaking_material_is,污秽的面具
学徒笔记,breaking_material_is,精锻用魔矿
猎弓,breaking_material_is,凛风奔狼的始龀
猎弓,breaking_material_is,凛风奔狼的裂齿
猎弓,breaking_material_is,凛风奔狼的断牙
猎弓,breaking_material_is,地脉的旧枝
猎弓,breaking_material_is,地脉的枯叶
猎弓,breaking_material_is,寻宝鸦印
猎弓,breaking_material_is,藏银鸦印
猎弓,breaking_material_is,精锻用魔矿
银剑,breaking_material_is,高塔孤王的破瓦
银剑,breaking_material_is,高塔孤王的残垣
银剑,breaking_material_is,高塔孤王的断片
银剑,breaking_material_is,沉重号角
银剑,breaking_material_is,黑铜号角
银剑,breaking_material_is,牢固的箭簇
银剑,breaking_material_is,锐利的箭簇
银剑,breaking_material_is,精锻用魔矿
无锋剑,breaking_material_is,高塔孤王的破瓦
无锋剑,breaking_material_is,高塔孤王的残垣
无锋剑,breaking_material_is,高塔孤王的断片
无锋剑,breaking_material_is,沉重号角
