id,name,rarity,baseProperty1,baseProperty2,intro,skillname,skillDesc,obtain,tag,label
0,N/A,1,N/A,基础攻击力23,少年人的梦想，踏上旅途的兴奋——如果这两种珍贵的品质还不够锋利，那就用勇气补足吧。,N/A,N/A,初始武器赠送、宝箱、商店购买,N/A,weapon
1,薙草之稻光,5,元素充能效率12.0%,基础攻击力46,用于「斩草」的薙(tì)刀。对向此物之军势，也会如苇草般倒下吧…,非时之梦·常世灶食,攻击力获得提升(基础攻击力x百分比+人物面板攻击)，提升程度相当于元素充能效率超出100%部分的28%/35%/42%/49%/56%，至多通过这种方式提升80%/90%/100%/110%/120%。施放元素爆发后的12秒内，元素充能效率提升30%/35%/40%/45%/50%。,限定祈愿,元素充能效率、攻击力,weapon
2,贯虹之槊,5,攻击力10.8%,基础攻击力46,或许能贯穿一切的锋利长枪。挥舞当中，仿佛能见到空气被枪划破的裂痕。,金璋皇极,护盾强效提升20%/25%/30%/35%/40%。攻击命中后的8秒内，攻击力提升4%/5%/6%/7%/8%。该效果至多可叠加5层，每0.3秒只能触发一次。此外，处于护盾庇护下时，该效果的攻击力提升效果提高100%。,限定祈愿,护盾强效、攻击力、层数叠加、护盾庇护,weapon
3,天空之脊,5,元素充能效率8%,基础攻击力48,象征风龙坚定决心的长枪。直挺的枪杆直指天穹，蕴含苍空与长风的力量,斫断黑翼的利齿,"暴击率提升8%/10%/12%/14%/16%， 普通攻击速度提升12%, 此外，普通攻击与重击命中敌人时，有50%概率触发真空刃，在小范围内造成额外40%/55%/70%/85%/100%攻击力的伤害。该效果每2秒至多触发一次。",祈愿,暴击率、攻击速度、额外伤害,weapon
4,和璞鸢,5,暴击率4.8%,基础攻击力48,魔神翡玉化作的长枪，拥有刺杀远古海兽的沉重与锋利。,昭理的鸢之枪,命中敌人时自身攻击力提高3.2%/3.9%/4.6%/5.3%/6%，持续6秒，最高可以叠加7层。该效果每0.3秒最多触发一次。满层状态时伤害提升12%/15%/18%/21%/24%。,祈愿,层数叠加、攻击力、伤害加成,weapon
5,护摩之杖,5,暴击伤害14.4%,基础攻击力46,在早已失落的古老祭仪中，使用的朱赤「柴火杖」。,N/A,生命值提升20%/25%/30%/35%/40%。此外，提供基于装备该武器的角色生命值上限的0.8%/1%/1.2%/1.4%/1.6%，获得攻击力加成。当装备该武器的角色生命值低于50%时，进一步获得1%/1.2%/1.4%/1.6%/1.8%最大生命值上限的攻击力提升。,限定祈愿,生命值、攻击力、自身限制,weapon
6,西风长枪,4,元素充能效率6.7%,基础攻击力44,西风骑士团的制式长枪。枪杆直挺，枪尖轻风流溢。,顺风而行,攻击造成暴击时，有60%/70%/80%/90%/100%的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每12/10.5/9/7.5/6秒只能触发一次。,祈愿,能量回复、自身限制,weapon
7,宗室猎枪,4,攻击力6.0%,基础攻击力44,N/A,专注,"攻击造成伤害时，暴击率提升8%/10%/12%/14%/16%,最多堆叠5次。攻击造成暴击后，移除已有的专注效果。",商城兑换,N/A,weapon
8,龙脊长枪,4,物理伤害加成15.0%,基础攻击力41,利用龙之牙制成的长枪，有着奇异的温暖触感。,霜葬,普通攻击与重击命中敌人时，有60%/70%/80%/90%/100%概率在敌人上方生成恒冰晶核并坠落，造成80%/95%/110%/125%/140%攻击力的范围伤害。若敌人处于冰元素影响下，则造成200%/240%/280%/320%/360%攻击力的伤害。该效果每10秒至多触发一次。,锻造、任务,额外伤害、冰,weapon
9,决斗之枪,4,暴击率8.0%,基础攻击力41,N/A,角斗士,身边至少有2个敌人时，获得16%/20%/24%/28%/32%攻击力提升与16%/20%/24%/28%/32%防御力提升；身边的敌人少于2个时，获得24%/30%/36%/42%/48%攻击力提升。,纪行,对象限制、攻击力、防御力,weapon
10,流月针,4,物理伤害加成7.5%,基础攻击力44,枪尖狭长，尾部分出半月刀刃的异国兵器，经由商路流落到璃月。稍事练习掌握，便有极其出众的杀伤力。,注能之针,获得元素微粒或元素晶球后的5秒内，普通攻击和重击额外造成20%/25%/30%/35%/40%攻击力伤害。,锻造,额外伤害,weapon
11,喜多院十文字,4,元素精通24,基础攻击力44,曾经在八酝岛守望「祟神」的枪法名士所用的特殊长枪。,名士振舞,元素战技造成的伤害提升6%/7.5%/9%/10.5%/12%。元素战技命中后，角色流失3点元素能量，并在此后的6秒内，每2秒恢复3/3.5/4/4.5/5点元素能量。该效果每10秒至多触发一次，角色处于队伍后台也能触发。,锻造、完成远吕羽氏遗事可获得锻造图纸,元素充能、元素精通,weapon
12,黑岩刺枪,4,暴击伤害12.0%,基础攻击力42,以黑岩与陨铁铸成的兵器，玄锋清凛的光泽中仿佛隐隐可见血色。,乘胜追击,击败敌人后，攻击力提升12%/15%/18%/21%/24%，持续30秒。该效果至多叠加3层，每层持续时间独立。,商城兑换,对象限制、层数叠加,weapon
13,试作星镰,4,元素充能效率10.0%,基础攻击力42,黑岩厂中秘藏的古老钩枪。锋芒上的点点闪光有如夜空稀星。,嗜魔,施放元素战技后，普通攻击和重击造成的伤害提高8%/10%/12%/14%/16%。该效果持续12秒，最多叠加2层。,锻造,层数叠加、普通攻击、重击,weapon
14,千岩长枪,4,攻击力6.0%,基础攻击力44,N/A,千岩诀·同心,队伍中每有一位璃月角色，装备该武器的角色便获得7%/8%/9%/10%/11%攻击力提升与3%/4%/5%/6%/7%暴击率提升。至多获得4层提升效果。,限定祈愿,攻击力、暴击率,weapon
15,「渔获」,4,元素充能效率10.0%,基础攻击力42,在久远的过去，曾经闻名稻妻的大盗爱用的枪。,船歌,元素爆发造成的伤害提升16%/20%/24%/28%/32%，元素爆发的暴击率提升6%/7.5%/9%/10.5%/12%。,npc商店、稻妻钓鱼协会兑换,元素爆发、暴击率,weapon
16,匣里灭辰,4,元素精通48,基础攻击力41,N/A,踏火止水,对于处于水元素或火元素影响下的敌人，造成的伤害提高20%/24%/28%/32%/36%。,祈愿,伤害加成、水、火,weapon
17,黑缨枪,3,生命值10.2%,基础攻击力38,解决了白缨容易弄脏问题的绝世好枪。,克柔,对史莱姆类敌人造成的伤害增加40%/50%/60%/70%/80%。,祈愿,对象限制、伤害加成,weapon
18,白缨枪,3,暴击率5.1%,基础攻击力39,N/A,锐利,普通攻击造成的伤害提升24%/30%/36%/42%/48%。,宝箱、宝箱（璃月）,普通攻击,weapon
19,钺矛,3,攻击力5.1%,基础攻击力40,在矛上增加斧刃的兵器，有不俗的破坏力。是千岩军军官青睐的武器。,沉重,对普通攻击命中的敌人造成160%/200%/240%/280%/320%攻击力的额外伤害。该效果每10秒只能触发一次。,宝箱,额外伤害,weapon
20,铁尖枪,2,N/A,基础攻击力33,一头有尖，可攻可守的护身武器。在旅者中非常流行。,N/A,N/A,宝箱、商店购买,N/A,weapon
21,新手长枪,1,N/A,基础攻击力23,笔直得像旗杆一般的长枪，挥舞起来颇具气势。足以应付大多数情况。,N/A,N/A,初始武器赠送、宝箱、商店购买,N/A,weapon
22,四风原典,5,暴击率7.2%,基础攻击力46,N/A,N/A,移动速度提高10%；在场上每4秒获得8%/10%/12%/14%/16%元素伤害加成。该效果最多叠加4层，角色倒下或离场后清空。,祈愿,移动速度、元素伤害、层数叠加,weapon
23,不灭月华,5,生命值10.8%,基础攻击力46,出自深海的美玉之环，闪烁着清澈如月的光泽，一如遥远往昔。,白夜皓月,治疗加成提升10%/12.5%/15%/17.5%/20%；普通攻击造成的伤害增加，增加值为装备该武器的角色生命值上限的1%/1.5%/2%/2.5%/3%。在施放元素爆发后的12秒内，普通攻击命中敌人时恢复0.6点元素能量，每0.1秒至多通过这种方式恢复一次元素能量。,限定祈愿,普通攻击、能量回复、生命值、治疗加成,weapon
24,尘世之锁,5,攻击力10.8%,基础攻击力46,N/A,金璋皇极,护盾强效提升20%/25%/30%/35%/40%。攻击命中后的8秒内，攻击力提升4%/5%/6%/7%/8%。该效果至多可叠加5层，每0.3秒只能触发一次。此外，处于护盾庇护下时，该效果的攻击力提升效果提高100%。,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,weapon
25,天空之卷,5,攻击力7.2%,基础攻击力48,象征风龙与其主风之神的云图集。细致记载了北地天空的风与云，蕴含苍空与长风的力量。,浮游四方的灵云,元素伤害加成提升12%/15%/18%/21%/24%；普通攻击命中时，有50%的概率获得高天流云的青睐，在15秒内主动攻击附近的敌人，造成等同于160%/200%/240%/280%/320%攻击力的伤害。该效果每30秒只能触发一次。（备注：快照锁面板，攻击6次，多本书可叠加）,祈愿,攻击力、元素伤害、额外伤害,weapon
26,暗巷的酒与诗,4,元素充能效率6.7%,基础攻击力44,N/A,变化万端,普通攻击命中敌人后，冲刺或替代冲刺的能力消耗的体力降低14%/16%/18%/20%/22%，持续5秒。此外，使用冲刺或替代冲刺的能力后，攻击力提升20%/25%/30%/35%/40%，持续5秒。,限定祈愿,体力减免、攻击力,weapon
27,嘟嘟可故事集,4,攻击力12%,基础攻击力41,N/A,嘟嘟！大冒险,"普通攻击命中敌人后的6秒内，重击造成的伤害提升16/20/24/28/32%;
重击命中敌人后的6秒内，攻击力提升8/10/12/14/16%。",活动,重击、攻击力,weapon
28,万国诸海图谱,4,元素精通24,基础攻击力44,详尽记载了大陆周边海流气候的海图，是从异国经由商路流落到璃月的奇异典籍。,注能之卷,触发元素反应后的10秒内，获得8%/10%/12%/14%/16%元素伤害加成，该效果最多可叠加2层,锻造,元素伤害、层数叠加,weapon
29,昭心,4,攻击力12.0%,基础攻击力41,幽暗的琉璃宝珠，传说中拥有洞察人心清白的力量。,回响,普通攻击与重击命中时，有50%几率发射一枚昭心法球，造成240%/270%/300%/330%/360%攻击力伤害，至多在敌人之间弹射4次。该效果每12/11/10/9/8秒至多触发一次。,祈愿,额外伤害,weapon
30,白辰之环,4,元素充能效率6.7%,基础攻击力44,N/A,樱之斋宫,N/A,锻造、完成[影向祓fú行]可获得锻造图纸,雷、元素反应、伤害加成,weapon
31,黑岩绯玉,4,暴击伤害12.0%,基础攻击力42,N/A,乘胜追击,击败敌人后，攻击力提升12%/15%/18%/21%/24%，持续30秒。该效果至多叠加3层，每层持续时间独立。,商城兑换,对象限制、层数叠加,weapon
32,祭礼残章,4,元素精通48,基础攻击力41,N/A,气定神闲,元素战技造成伤害时，有40%/50%/60%/70%/80%的概率重置该技能的冷却时间，该效果每30/26/22/19/16秒只能触发1次。,祈愿,元素战技,weapon
